champ;url
Janna.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Janna.png
JarvanIV.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/JarvanIV.png
Jax.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Jax.png
Jayce.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Jayce.png
Jhin.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Jhin.png
Jinx.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Jinx.png
Kaisa.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kaisa.png
Kalista.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kalista.png
Karma.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Karma.png
Karthus.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Karthus.png
Kassadin.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kassadin.png
Katarina.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Katarina.png
Kayle.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kayle.png
Kayn.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kayn.png
Kennen.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kennen.png
Khazix.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Khazix.png
Kindred.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kindred.png
Kled.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Kled.png
KogMaw.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/KogMaw.png
Leblanc.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Leblanc.png
LeeSin.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/LeeSin.png
Leona.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Leona.png
Lissandra.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Lissandra.png
Lucian.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Lucian.png
Lulu.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Lulu.png
Lux.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Lux.png
Malphite.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Malphite.png
Malzahar.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Malzahar.png
Maokai.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Maokai.png
MasterYi.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/MasterYi.png
MissFortune.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/MissFortune.png
Mordekaiser.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Mordekaiser.png
Morgana.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Morgana.png
Nami.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nami.png
Nasus.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nasus.png
Nautilus.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nautilus.png
Neeko.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Neeko.png
Nidalee.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nidalee.png
Nocturne.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nocturne.png
Nunu.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Nunu.png
Olaf.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Olaf.png
Orianna.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Orianna.png
Ornn.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Ornn.png
Pantheon.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Pantheon.png
Poppy.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Poppy.png
Pyke.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Pyke.png
Qiyana.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Qiyana.png
Quinn.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Quinn.png
Rakan.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Rakan.png
Rammus.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Rammus.png
RekSai.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/RekSai.png
Renekton.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Renekton.png
Rengar.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Rengar.png
Riven.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Riven.png
Rumble.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Rumble.png
Ryze.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Ryze.png
Sejuani.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sejuani.png
Senna.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Senna.png
Sett.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sett.png
Shaco.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Shaco.png
Shen.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Shen.png
Shyvana.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Shyvana.png
Singed.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Singed.png
